# Taken from Kirkpatrick et al. (2012)
#x y y_err
9.87654320988 0.90882 0.0079
28.8065843621 13.6566 0.71
41.1522633745 35.6238 0.41
65.8436213992 52.3179 0.64
102.880658436 50.8113 1.77
144.032921811 30.132 1.91
205.761316872 0.972 2.0
10.7142857143 0.78176 0.0088
31.25 5.3984 0.7
44.6428571429 17.6736 0.29
71.4285714286 37.8336 0.77
111.607142857 56.0224 1.8
156.25 40.656 2.35
223.214285714 26.3648 2.74
10.5726872247 0.76272 0.0075
30.8370044053 15.9127 0.73
44.0528634361 36.6378 0.32
70.4845814978 54.9567 0.64
110.13215859 46.2853 1.25
154.185022026 27.7848 3.45
220.264317181 15.89 2.0
11.1627906977 0.96965 0.0088
32.5581395349 11.481 0.68
46.511627907 28.4445 0.42
74.4186046512 52.159 1.87
116.279069767 72.9065 4.9
162.790697674 49.9875 9.3
232.558139535 19.35 2.0
11.8811881188 1.17362 0.009
34.6534653465 5.5348 0.65
49.504950495 17.2104 0.54
79.2079207921 33.4108 0.7
123.762376238 40.8848 1.87
173.267326733 22.9876 1.21
247.524752475 25.452 2.0
14.6341463415 1.21524 0.0071
42.6829268293 9.0692 0.7
60.9756097561 26.9944 0.27
97.5609756098 54.694 0.73
152.43902439 60.4996 0.94
213.414634146 37.2772 1.6
304.87804878 9.4792 1.81
14.6341463415 1.189 0.0068
42.6829268293 18.204 0.72
60.9756097561 34.4728 0.4
97.5609756098 44.2964 0.82
152.43902439 36.3916 1.56
213.414634146 18.4828 1.39
304.87804878 9.1676 2.17
14.6341463415 2.05 0.0101
42.6829268293 18.204 0.72
60.9756097561 49.8888 0.75
97.5609756098 57.072 0.79
152.43902439 39.278 2.42
213.414634146 16.7608 1.69
304.87804878 2.46 5.57
10.8108108108 0.98568 0.0055
31.5315315315 29.304 0.66
45.045045045 75.924 0.66
72.0720720721 141.2142 1.71
112.612612613 138.75 1.62
157.657657658 101.232 1.34
225.225225225 43.5786 2.33
13.4078212291 1.53761 0.0108
39.1061452514 25.418 0.71
55.8659217877 50.7823 0.46
89.3854748603 74.106 0.86
139.664804469 55.4363 1.68
195.530726257 30.8238 2.63
12.9032258065 1.61076 0.0103
37.6344086022 8.4816 0.63
53.7634408602 20.4414 0.32
86.0215053763 39.804 0.71
134.408602151 43.4496 2.06
188.172043011 17.9676 1.64
